"ServiceName","Category","Namespace","Registration","Global","Austria East","Belgium Central","Denmark East","France Central","France South","Germany North","Germany West Central","Italy North","North Europe","Norway East","Norway West","Poland Central","Spain Central","Sweden Central","Switzerland North","Switzerland West","West Europe"
"Microsoft Defender for Cloud","Security","Microsoft.Security","Registered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Microsoft Security Copilot","Security","Microsoft.SecurityCopilot","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Microsoft Sentinel","Security","Microsoft.SecurityInsights","Registered","False","no","no","no","yes","yes","no","yes","yes","yes","yes","yes","no","no","yes","yes","yes","yes"
"Secret Sync Controller","Security","Microsoft.SecretSyncController","NotRegistered","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes"
"Security Detonation","Security","Microsoft.SecurityDetonation","NotRegistered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Security Platform","Security","Microsoft.SecurityPlatform","NotRegistered","False","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no"
"Sentinel Platform Services","Security","Microsoft.SentinelPlatformServices","NotRegistered","False","no","no","no","yes","no","no","yes","yes","yes","no","no","no","no","yes","yes","no","yes"
"Trusted Signing","Security","Microsoft.CodeSigning","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","yes","no","yes"
"Zero Trust Segmentation","Security","Microsoft.ZeroTrustSegmentation","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Palo Alto Networks Cloud NGFW","Security (3rd party)","PaloAltoNetworks.Cloudngfw","NotRegistered","False","no","yes","no","yes","no","no","yes","yes","yes","yes","no","no","yes","yes","yes","yes","yes"
"Azure Container Storage (Arc)","Storage","Microsoft.ArcContainerStorage","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure Data Box","Storage","Microsoft.DataBox","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","yes"
"Azure Data Box Edge / Stack Edge","Storage","Microsoft.DataBoxEdge","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Azure Data Lake Storage Gen1","Storage","Microsoft.DataLakeStore","Registered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Azure Data Transfer","Storage","Microsoft.AzureDataTransfer","NotRegistered","False","no","no","no","yes","yes","no","yes","no","no","no","no","yes","no","no","no","no","no"
"Azure Edge Order","Storage","Microsoft.EdgeOrder","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Azure Elastic SAN","Storage","Microsoft.ElasticSan","NotRegistered","False","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure File Shares","Storage","Microsoft.FileShares","NotRegistered","False","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","no","no","yes"
"Azure File Sync","Storage","Microsoft.StorageSync","NotRegistered","False","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure HPC Cache / Managed Lustre","Storage","Microsoft.StorageCache","NotRegistered","False","no","no","no","yes","no","no","yes","yes","yes","yes","no","no","yes","yes","no","no","yes"
"Azure NetApp Files","Storage","Microsoft.NetApp","NotRegistered","False","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes"
"Azure Storage (Blob/File/Queue/Table)","Storage","Microsoft.Storage","Registered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure Storage Mover","Storage","Microsoft.StorageMover","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no"
"Edge Order Partner","Storage","Microsoft.EdgeOrderPartner","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes"
"Object Store","Storage","Microsoft.ObjectStore","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Storage Actions","Storage","Microsoft.StorageActions","NotRegistered","False","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes"
"Storage Actions Tasks","Storage","Microsoft.StorageTasks","NotRegistered","True","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global","global"
"Storage Discovery","Storage","Microsoft.StorageDiscovery","NotRegistered","False","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Dell APEX File Storage","Storage (3rd party)","Dell.Storage","NotRegistered","False","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","yes"
"Pure Storage Cloud Block Store","Storage (3rd party)","PURESTORAGE.BLOCK","NotRegistered","False","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes"
"Qumulo on Azure","Storage (3rd party)","Qumulo.Storage","NotRegistered","False","no","no","no","yes","no","no","yes","no","yes","yes","no","no","no","yes","yes","no","yes"
"App Service Certificates","Web","Microsoft.CertificateRegistration","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"App Service Domains","Web","Microsoft.DomainRegistration","NotRegistered","False","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"Azure App Service / Functions","Web","Microsoft.Web","Registered","False","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"Azure SignalR / Web PubSub","Web","Microsoft.SignalRService","Registered","False","yes","no","no","yes","no","no","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes"
